id,correctness,relevance,grounding,completeness,helpfulness
G001,5,5,5,3,4
G002,5,5,5,4,5
G003,5,5,5,4,5
G004,5,5,5,4,5
G005,1,2,1,1,1
G006,4,5,4,4,4
G007,5,5,5,3,4
G008,3,4,2,2,2
G009,5,5,5,3,4
G010,5,5,5,4,5
G011,1,2,1,1,1
G012,5,5,5,4,5
G013,4,5,4,3,3
G014,2,4,1,2,2
G015,5,5,5,3,4
G016,4,5,5,3,4
G017,4,4,4,2,3
G018,5,3,2,2,2
G019,4,5,4,4,4
G020,5,5,5,3,4
G021,1,2,1,1,1
G022,5,5,5,4,4
G023,3,5,5,3,3
G024,5,5,5,3,4
G025,5,5,5,5,5
G026,5,5,5,5,5
G027,5,5,5,5,5
G028,4,5,4,5,5
G029,3,4,1,1,2
G030,2,2,1,1,2
G031,2,2,1,1,1
G032,2,2,1,1,1
G033,5,5,5,5,5
G034,5,5,5,2,3
G035,5,5,5,5,5
G036,4,5,5,4,4
G037,3,4,3,2,3
G038,4,5,5,3,4
G039,5,5,5,5,5
G040,5,5,5,4,4
G041,5,5,5,5,5
G042,5,5,5,5,5
G043,5,5,5,3,3
G044,3,3,2,2,2
G045,5,5,5,4,5
G046,5,5,5,3,4
G047,5,5,5,4,4
G048,1,1,1,1,1
G049,5,5,5,3,4
G050,5,5,5,3,4
G051,5,5,5,4,5
G052,3,4,3,4,3
G053,1,1,1,1,1
G054,4,4,5,4,4
G055,5,5,5,5,5
G056,4,5,5,3,4
G057,5,5,5,5,5
G058,5,5,5,4,5
G059,5,5,5,4,5
G060,5,5,5,5,5
G061,5,5,5,4,5
G062,5,5,5,4,5
G063,5,5,5,4,4
G064,1,2,1,1,1
G065,5,5,5,5,5
G066,5,5,5,5,5
G067,5,5,5,5,5
G068,5,5,4,4,4
G069,5,5,5,4,5
G070,5,5,5,3,4
G071,5,5,5,5,5
G072,5,5,5,5,5
G073,4,5,4,3,4
G074,5,5,5,3,4
G075,5,5,5,4,5
G076,5,5,5,3,3
G077,5,5,5,4,5
G078,5,5,3,3,3
G079,5,5,4,5,4
G080,2,4,1,2,2
G081,5,5,5,5,5
G082,5,5,5,4,4
G083,5,5,4,4,4
G084,5,5,5,4,4
G085,3,4,1,2,2
G086,2,3,1,1,2
G087,4,5,4,3,4
G088,4,5,4,3,4
G089,2,2,2,1,1
G090,3,3,1,2,3
G091,5,5,5,5,5
G092,5,5,5,4,5
G093,4,5,3,3,4
G094,5,5,5,4,5
G095,5,5,5,5,5
G096,3,5,2,4,4
G097,4,5,5,3,2
G098,5,5,5,5,5
G099,5,5,5,4,4
G100,5,5,5,3,4
G101,5,5,5,5,5
G102,5,5,5,3,4
G103,5,5,5,5,5
G104,4,5,3,2,3
G105,5,5,5,5,5
G106,5,5,5,5,5
G107,5,5,4,4,4
G108,5,5,5,3,4
G109,5,5,5,3,4
G110,5,5,5,3,4
G111,4,4,4,3,4
G112,5,5,5,5,5
G113,1,2,1,1,1
G114,5,5,5,4,5
G115,4,5,5,3,4
