conversation_id,brand,customer_message,agent_response,full_context,timestamp
Tesco_2871184,Tesco,"I just paid £5 for 200 g of smoked salmon... where is the rest of it?!?! Not happy Tesco! Saw it on offer and treated myself, now feeling very ripped off. Tesco please advise!!","Can you also DM your full name, address and clear copy of your receipt? TY - Jayne 2/2","I just paid £5 for 200 g of smoked salmon... where is the rest of it?!?! Not happy Tesco! Saw it on offer and treated myself, now feeling very ripped off. Tesco please advise!!",Tue Nov 28 02:44:17 +0000 2017
Tesco_1097892,Tesco,"What is the point of Gov't bag tax for charity when local supermarket no longer provide the 5p bags, only 10p bags for life?","Hi, this is simply to encourage the usage of the recyclable bags for life that's all :). - Peter","What is the point of Gov't bag tax for charity when local supermarket no longer provide the 5p bags, only 10p bags for life?",Mon Oct 23 22:09:29 +0000 2017
Tesco_823321,Tesco,my grocery delivery is now 2 hours late. I was told the store would call. Not happened yet.,I appreciate how frustrating this must be and I'd like to investigate this further for you. 2/3,my grocery delivery is now 2 hours late. I was told the store would call. Not happened yet.,Thu Oct 12 23:44:26 +0000 2017
Tesco_29007,Tesco,Thank you James. Could you ask about getting some more please? Maybe pasta shapes or pizza? 🤓,"Hi Helen, it's a sin I know! If you could DM me your name and address I can certainly get this logged for review! TY - Martin","V important question. What dinosaur shaped food do you sell? Many thanks #dinofood
Hi Helen, from what it looks like the only dinosaur shaped food we sell are Bernard Matthews turkey dinosaurs. Thanks, James.
Thank you James. Could you ask about getting some more please? Maybe pasta shapes or pizza? 🤓",Wed Nov 01 18:52:43 +0000 2017
Tesco_1345723,Tesco,"me taking a photo of a special offer could constitute a ""business risk"" ? seriously ?! you really expect me to ask permission ?","Hi there, I can understand your frustration, however this would be entirely at the discretion of my colleagues in store. Thanks - Dafydd",". staff at Kensington Superstore told me not to take photos, of items on shelf. presume this is a mistake?
They have to take all the details and check that it does not impose any business risks. 3/4
me taking a photo of a special offer could constitute a ""business risk"" ? seriously ?! you really expect me to ask permission ?",Fri Oct 27 21:11:55 +0000 2017
Tesco_1086336,Tesco,Over a week. Still not fixed! Be quicker to put new tills in! Seriously how useless are your IT!? #tescos,"Hi Laura, I have spoken to the store about the issue with the self service, this shall be fixed by the end of the week and we very much appreciate your patience in this matter! TY - Struan","The problem will be fixed as soon as possible. Thank you - Brooke
Still not fixed. Over 72 hours! Think you need to reward club card holders and your staff for your IT deps ineptitude!
Hi Laura, I'm sorry it still hasn't been fixed. Fingers crossed it's resolved soon. Thanks - Dafydd
Over a week. Still not fixed! Be quicker to put new tills in! Seriously how useless are your IT!? #tescos",Tue Nov 14 21:57:50 +0000 2017
Tesco_2207247,Tesco,Any idea when your website is going to be working properly to book food delivery slots? It's all very well having a swanky new design when the important bit - i.e. actually ordering food - has been down for more than a week. 🤨,This has now be resolved and you should be able to book a slot 2/3,Any idea when your website is going to be working properly to book food delivery slots? It's all very well having a swanky new design when the important bit - i.e. actually ordering food - has been down for more than a week. 🤨,Fri Nov 10 00:02:31 +0000 2017
Tesco_2094385,Tesco,Melton out of stock of 5p bags so only option is 10p. Why can't they sell them at lower price? Those 5ps will add up in a big place!,Hi Jonathan. We made the decision back in August to stop selling the 5ps bags. 1/3,Melton out of stock of 5p bags so only option is 10p. Why can't they sell them at lower price? Those 5ps will add up in a big place!,Wed Nov 08 10:33:41 +0000 2017
Tesco_2850034,Tesco,can i just inform you my wife tried to speak to TescoSpytty today to org charity collection. Followed yr phone system to be rudely told by duty manager to contact someone else. She obvs never worked on tills!!,"Hi Andrew, I'm sorry the Duty Manager was so rude to you. Can you DM me with a name of who you spoke to and I'll also provide you with your local Community Champions details? This is the best person to help with any charity requests.- Reece",can i just inform you my wife tried to speak to TescoSpytty today to org charity collection. Followed yr phone system to be rudely told by duty manager to contact someone else. She obvs never worked on tills!!,Mon Nov 27 19:11:21 +0000 2017
Tesco_48546,Tesco,will fury friends be allowed in the Pets at Home concession you are opening in your Durham Dragonville store. #excited,I am sorry but we are not allowing pets into the store as we are only selling the brand of pets at home on our shelves 2/3,will fury friends be allowed in the Pets at Home concession you are opening in your Durham Dragonville store. #excited,Wed Nov 01 17:06:17 +0000 2017
