id,customer_message,intent,expected_action,reference_resolution,difficulty,notes
G001,"just bought this from your Liverpool one store and physically feel sick what the hell is that floating around in the bottom of the jar some sort of fly / maggot thing #tesco #liverpool",product_quality,ESCALATE,"Acknowledge the potential contamination, advise not consuming the product, collect product and batch details, and escalate for investigation.",easy,"Potential foreign-object food-safety issue; source_conversation_id=Tesco_1615218"
G002,"Still no phonecall , still not fixed this is beyond ridiculous and a total disregard for local residents",customer_service_complaint,ESCALATE,"Acknowledge the unresolved issue and arrange appropriate follow-up with the responsible team.",medium,"Missing context about the underlying issue; source_conversation_id=Tesco_160480"
G003,"what’s going on with the bakery in your New Malden branch? Cheese twist tastes like an old crusty foot and the danishes are an oxymoronic dry &soggy?! And coffee machine out of order. Not happy. #sortitout",product_quality,ESCALATE,"Apologize for the poor bakery quality and report the product-quality and equipment concerns to the store.",easy,"Primary complaint concerns food quality; also mentions broken coffee machine; source_conversation_id=Tesco_684056"
G004,"not sure who I spoke to on Friday, but I really appreciated the help from the lady who sorted a later pickup of my click&collect given I was stuck on the M5.",delivery_issue,AUTO_HANDLE,"Thank the customer for the positive feedback and pass the recognition to the relevant Click & Collect team.",easy,"Positive Click & Collect service feedback; source_conversation_id=Tesco_2498275"
G005,"food delivery late yet again, I am yet to receive one within my chosen time!",delivery_issue,ESCALATE,"Acknowledge the missed delivery window, check delivery status, and provide an updated ETA or appropriate resolution.",easy,"Repeated late delivery; source_conversation_id=Tesco_2008050"
G006,"member of staff in Brooklands scan as you shop could do with some customer service training #trycrackingasmile #talktothecustomer",customer_service_complaint,ESCALATE,"Acknowledge the service complaint and forward the feedback to the relevant store management team.",easy,"Staff behavior/training complaint; source_conversation_id=Tesco_1331367"
G007,"Hello 👋 How can I request items in my local store? 😊 Any vegan butter (vitalite/pure) in Filton Avenue store? ~AD",stock_availability,AUTO_HANDLE,"Explain how to request products and provide or check availability of vegan butter at the specified store.",easy,"Product request and local stock query; source_conversation_id=Tesco_1259741"
G008,"Well good to see that the refurbishment of peasedown has done absolutely nothing! Self checkouts still card only, main tills not taking coupons or keyfob clubcards. Stock is shocking and overheard two employees discussing leaving stock out in rain as no room inside. :(",customer_service_complaint,ESCALATE,"Acknowledge the multiple store-service concerns and route the operational issues to store management.",hard,"Multiple issues: tills, coupons, Clubcard, stock handling and staff comments; source_conversation_id=Tesco_2733109"
G009,"I was so pleased with my new chair from Tesco Direct until I realised the legs were more than a little wonky. Help please ? #fail",product_quality,ESCALATE,"Acknowledge the faulty product complaint and provide the appropriate return, replacement, or refund process.",easy,"Faulty purchased product; source_conversation_id=Tesco_2789437"
G010,"third delivery in a row which is late, promised a call back last time which I never got. Going back to I think!",delivery_issue,ESCALATE,"Acknowledge the repeated missed delivery windows and failed callback, then arrange investigation and follow-up.",easy,"Repeated delivery failure and callback issue; source_conversation_id=Tesco_966408"
G011,"I’ve attempted it one! But I prefer to buy it ready made so I know it’s edible 😂😂",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the comment and provide relevant information if the referenced product or activity can be identified.",hard,"Reply depends on missing preceding context; source_conversation_id=Tesco_1173166"
G012,"I'm really glad that my local have lactose free products in, and I know they probably don't sell a huge amount, but was super disappointed to see the yogurts I went to get yesterday had a use by date of 26/11. Thankfully they had an alternative option!",product_quality,ESCALATE,"Acknowledge the concern about short-dated lactose-free products and report the date-quality issue to the store.",medium,"Short use-by date rather than clearly expired product; source_conversation_id=Tesco_2841149"
G013,"I had a food delivery Weds 15th Nov. In my shop was a bottle of Tesco drain unblocker. The lid wasn't on properly, its wasn't double bagged and leaked all over food items and then on our wooden work surface. I called and let you know immediately & again yesterday NOTHING",product_quality,ESCALATE,"Apologize for the leaked chemical product, advise against using affected food, and escalate the contamination and unresolved complaint.",easy,"Chemical leakage contaminated groceries; source_conversation_id=Tesco_2620342"
G014,"which I believe you have acknowledged by re pricing the online price (£25) to match the store (£50) after receiving this message",OVERSIZED_MIXED_CLUSTER__5,AUTO_HANDLE,"Acknowledge the price adjustment and confirm the applicable pricing resolution.",hard,"Context is incomplete and wording appears to be a follow-up reply; source_conversation_id=Tesco_1326340"
G015,"Very disappointing #customerservice from #tesco Newport, avoiding a refund for faulty goods. Know your rights as a customer #tradingstandards",customer_service_complaint,ESCALATE,"Acknowledge the complaint about refusal of a refund for faulty goods and escalate to customer service.",easy,"Customer-service complaint involving faulty goods and refund; source_conversation_id=Tesco_2858944"
G016,"Terrible service from phone to see where late running delivery is only to be told it isn’t coming at all. Didn’t think to tell us tho",delivery_issue,ESCALATE,"Apologize for the failed delivery and lack of notification, then investigate the order and provide a resolution.",easy,"Delivery cancelled/no-show without notification; source_conversation_id=Tesco_2798570"
G017,"why have the fruit bags been removed from the meal deal? But packaging still states meal deal? What happened to healthy eating?",uncategorized__meal,AUTO_HANDLE,"Explain the current Meal Deal product selection and any change to the fruit-bag offering.",easy,"Meal Deal product-selection query; source_conversation_id=Tesco_1058998"
G018,"I’m waiting for a delivery and the most accurate time your tracking can give me is between 8am - 7pm? Terrible service.",delivery_issue,ESCALATE,"Explain the delivery tracking limitations and, where possible, provide a more specific delivery estimate.",easy,"Delivery tracking/window complaint; source_conversation_id=Tesco_2407434"
G019,"Can I still pre order call of duty from you?",stock_availability,AUTO_HANDLE,"Check whether the requested Call of Duty title is available for preorder and provide the applicable ordering information.",easy,"Specific product availability/preorder query; source_conversation_id=Tesco_1450201"
G020,"just bought this from Elmers end store. Moldy on the inside.",product_quality,ESCALATE,"Acknowledge the mould complaint, advise not consuming the product, and escalate for product-quality investigation.",easy,"Food quality/contamination; source_conversation_id=Tesco_1232982"
G021,"i thought your victoria express in warwick way opened on 2nd december? When does it open?",uncategorized__tesco,AUTO_HANDLE,"Provide the opening date and opening hours for the specified Tesco Express store.",easy,"Store opening information; source_conversation_id=Tesco_1971929"
G022,"Still waiting for an apology from delivery Terrible customer service",delivery_issue,ESCALATE,"Acknowledge the delivery complaint and arrange appropriate follow-up regarding the requested apology.",medium,"Delivery-related service complaint; source_conversation_id=Tesco_445803"
G023,"you might want to get your Macclesfield store to check the rest of the dates on these. Bought this today and it's nearly a month out of date",product_quality,ESCALATE,"Apologize for the expired product, advise not consuming it, and report the store/date-control issue.",easy,"Expired product; source_conversation_id=Tesco_2253258"
G024,"is there something wrong with the website? Was in the middle of an online shop & now it’s saying it can’t direct me to the page?",technical_problem,AUTO_HANDLE,"Troubleshoot the website navigation error and advise the customer on how to resume the online shop.",easy,"Website technical issue; source_conversation_id=Tesco_1585468"
G025,"this whole pack of free range chicken has gone off! What's the deal? Smells awful.",product_quality,ESCALATE,"Acknowledge the spoiled food complaint, advise not consuming it, and escalate for investigation.",easy,"Spoiled food; source_conversation_id=Tesco_1170353"
G026,"Pretty poor produce",product_quality,ESCALATE,"Acknowledge the quality complaint and ask for product details so the issue can be investigated.",hard,"Very little context about the affected produce; source_conversation_id=Tesco_1092455"
G027,"Once again in Corby put stock on their shelves that isn't ""on file"" and the duty manager didn't want to deal with! Way to go David Braybrook. What a happy customer you made me.....NOT",customer_service_complaint,ESCALATE,"Acknowledge the store-service complaint and escalate the stock and management-handling issue.",medium,"Store operations plus manager service complaint; source_conversation_id=Tesco_1467585"
G028,"Thank you I will dm you now",uncategorized__dm,AUTO_HANDLE,"Acknowledge that the customer intends to continue the conversation by direct message.",easy,"Explicit DM reference; source_conversation_id=Tesco_1231101"
