conversation_id,brand,customer_message,agent_response,full_context,timestamp
Tesco_1238269,Tesco,"Yes, I was at the self scan so I needed assistance, two staff members told me they couldn't let me have it :-( it was Tiverton","Hi Emily, I'm afraid that if the product doesn't scan then it cannot be sold as it will not be picked up by the system. 1/2","Could not purchase the special Oasis edition of Q magazine as your system didn't recognise the barcode! Why is it on the shelf then?!
Can you also let me know which store this was? Thanks - Lee 2/2
Yes, I was at the self scan so I needed assistance, two staff members told me they couldn't let me have it :-( it was Tiverton",Wed Oct 25 22:45:28 +0000 2017
Tesco_809062,Tesco,#halal I request a response from Tesco Are your customers now NOT GIVEN A CHOICE in ALL your UK stores?,"Hi Mark, here is our full policy. I hope the information helps here. Kind regards - Rhys",#halal I request a response from Tesco Are your customers now NOT GIVEN A CHOICE in ALL your UK stores?,Wed Oct 11 20:56:58 +0000 2017
Tesco_970327,Tesco,annual tweet to find out when the finest Christmas party food hits Ludlow and Banbury stores please ❤️❤️❤️😍?,"Hi Stevie, unfortunately the store are still unsure when they will be getting this range in but hopefully it wont be too long. - Megan",annual tweet to find out when the finest Christmas party food hits Ludlow and Banbury stores please ❤️❤️❤️😍?,Sat Oct 21 18:57:36 +0000 2017
Tesco_2734878,Tesco,"Why when I request no carry bags for my home delivery do I get 4? 1 with cheese, 1 for veg, 1 for fruit and one for bits. ??? Save plastic please!","Hi Christopher, this is disappointing to read. Can you please DM your full name, address and email to access your grocery account so I can feed this back? Thanks - Emma","Why when I request no carry bags for my home delivery do I get 4? 1 with cheese, 1 for veg, 1 for fruit and one for bits. ??? Save plastic please!",Mon Nov 20 19:34:40 +0000 2017
Tesco_2821309,Tesco,do you have the Samsung s3 charger in tesco Aston Birmingham in store?,"Morning Eram; I'm afraid our Aston Lane Superstore does not stock Samsung S3 Chargers, and I'm sorry for any disappointment caused. Thank you for your suggestion regarding the Kind Bueno, it's really beneficial for us to receive :) - Mat",do you have the Samsung s3 charger in tesco Aston Birmingham in store?,Mon Nov 27 07:25:36 +0000 2017
Tesco_1286560,Tesco,"Around 845am, not been anything all week just empty trays. Had to go to greggs 😩","Hi Adam, I am still unable to get through to the store therefore I have emailed across your feedback to the store manager. Ty - Darren","Hi Adam, I'm sorry this has happened. Can you let me know which store this is and I will have a look for you? Thanks - Gemma :)
York goodram gate, same every morning 😊
Hi Adam; what time do you visit? Stores aim for fresh goods to be available for 7ish, but products can vary, eg bread rolls out first - Mat
Around 845am, not been anything all week just empty trays. Had to go to greggs 😩",Thu Oct 26 20:47:26 +0000 2017
Tesco_1203839,Tesco,Never again am i buying chicken. Swimming pool of water!!,"Hi Indy, I'm really sorry. Can you please DM your full name, address and email along and some details from the packaging? 1/3",Never again am i buying chicken. Swimming pool of water!!,Sun Oct 15 22:22:48 +0000 2017
Tesco_499335,Tesco,Okay. Thanks for the update.,"No worries Matt, take care and enjoy the week ahead. Give me a shout if you need anything else. :) - Rob","I do hope that we can get it up and running as soon as possible. TY - Lloyd 3/3
Any update on this?
Hi Matt, I've had a look into this for you & sadly it appears that this is still something we are looking into and resolving.
Okay. Thanks for the update.",Tue Jun 21 12:54:44 +0000 2016
Tesco_547269,Tesco,very disappointed to get home and find my freshly purchased milk is 2 days out of date. Second time ive come home with out of date produce from your store #productrotation not a priority for you?,"Hi there, I'm really sorry that your milk was out of date. This shouldn't have happened. Can you DM us which store this was from, barcode, your full name, address & price paid? I'll get this reported and refund you. TY - Paige",very disappointed to get home and find my freshly purchased milk is 2 days out of date. Second time ive come home with out of date produce from your store #productrotation not a priority for you?,Sat Dec 02 17:35:29 +0000 2017
Tesco_172359,Tesco,is the meningitis jab free?,"Hi there, I'll look into this and get back in touch with you when I have some more information for you. Kind regards - Rhys",is the meningitis jab free?,Wed Nov 15 04:36:20 +0000 2017
